	ORDO-ID	Concept	Mapped_Term	SNOMED_ID	SNOMED_Term	ORDO_ID
553	199627	Atypical autism	Atypical autism	231536004	Atypical autism (disorder)	
554	401785	Autosomal recessive spastic paraplegia type 62	Autosomal recessive spastic paraplegia type 62	765045003	Autosomal recessive spastic paraplegia type 62 (disorder)	
555	168606	Seborrhea-like dermatitis with psoriasiform elements	Seborrhea-like dermatitis with psoriasiform elements	782910009	Seborrhea-like dermatitis with psoriasiform elements (disorder)	
556	3148	Malignant peripheral nerve sheath tumor	Malignant peripheral nerve sheath tumor	404037002	Malignant peripheral nerve sheath tumor (disorder)	
557	441	Pure autonomic failure	Pure autonomic failure	84438001	Pure autonomic failure (disorder)	
558	101011	Autosomal dominant spastic paraplegia type 31	Autosomal dominant spastic paraplegia type 31	763068005	Autosomal dominant spastic paraplegia type 31 (disorder)	
559	178493	Myopic macular degeneration	Myopic macular degeneration	312898002	Myopic macular degeneration (disorder)	
560	391651	Glomus tumor	Glomus tumor	403969002	Glomus tumor (disorder)	
561	157820	Cold-induced sweating syndrome	Cold-induced sweating syndrome	702363009	Cold-induced sweating syndrome (disorder)	
562	69739	Athabaskan brainstem dysgenesis syndrome	Athabaskan brainstem dysgenesis syndrome	720518006	Athabaskan brainstem dysgenesis syndrome (disorder)	
563	91139	Simple cryoglobulinemia	Simple cryoglobulinemia	723674005	Simple cryoglobulinemia (disorder)	
564	353344	Idiopathic macular telangiectasia type 1	Idiopathic macular telangiectasia type 1	773993008	Idiopathic macular telangiectasia type 1 (disorder)	
565	125	Bloom syndrome	Bloom syndrome	4434006	Bloom syndrome (disorder)	
566	198	Occipital horn syndrome	Occipital horn syndrome	237878009	Occipital horn syndrome (disorder)	
567	101008	Autosomal recessive spastic paraplegia type 28	Autosomal recessive spastic paraplegia type 28	763376002	Autosomal recessive spastic paraplegia type 28 (disorder)	
568	319266	Omsk hemorrhagic fever	Omsk hemorrhagic fever	48113006	Omsk hemorrhagic fever (disorder)	
569	93569	Polymyalgia rheumatica	Polymyalgia rheumatica	65323003	Polymyalgia rheumatica (disorder)	
570	352745	Oculocutaneous albinism type 7	Oculocutaneous albinism type 7	722059002	Oculocutaneous albinism type 7 (disorder)	
571	33364	Trichothiodystrophy	Trichothiodystrophy	723551003	Trichothiodystrophy (disorder)	
572	99718	Leber plus disease	Leber plus disease	719430008	Leber plus disease (disorder)	
573	199279	Familial angiolipomatosis	Familial angiolipomatosis	774066000	Familial angiolipomatosis (disorder)	
574	354	GM1 gangliosidosis	GM1 gangliosidosis	238025006	GM1 gangliosidosis (disorder)	
575	1344	Atrial standstill	Atrial standstill	450919004	Atrial standstill (disorder)	
576	289380	Myosclerosis	Myosclerosis	763895001	Myosclerosis (disorder)	
577	101108	Spinocerebellar ataxia type 23	Spinocerebellar ataxia type 23	718772002	Spinocerebellar ataxia type 23 (disorder)	
578	578	Mucolipidosis type IV	Mucolipidosis type IV	725296006	Mucolipidosis type IV (disorder)	
579	606	Proximal myotonic myopathy	Proximal myotonic myopathy	715317001	Proximal myotonic myopathy (disorder)	
580	31150	Tangier disease	Tangier disease	723579009	Tangier disease (disorder)	
581	98619	Rare isolated myopia	Rare isolated myopia	773771008	Rare isolated myopia (disorder)	
582	1775	Dyskeratosis congenita	Dyskeratosis congenita	74911008	Dyskeratosis congenita (disorder)	
583	3467	Hereditary xanthinuria	Hereditary xanthinuria	54627004	Hereditary xanthinuria (disorder)	
584	171629	Autosomal recessive spastic paraplegia type 35	Autosomal recessive spastic paraplegia type 35	764688002	Autosomal recessive spastic paraplegia type 35 (disorder)	
585	97341	Persistent placoid maculopathy	Persistent placoid maculopathy	719297006	Persistent placoid maculopathy (disorder)	
586	26790	Pseudomyxoma peritonei	Pseudomyxoma peritonei	307601000	Pseudomyxoma peritonei (disorder)	
587	101109	Spinocerebellar ataxia type 28	Spinocerebellar ataxia type 28	715824008	Spinocerebellar ataxia type 28 (disorder)	
588	313	Lamellar ichthyosis	Lamellar ichthyosis	205550003	Lamellar ichthyosis (disorder)	
589	84093	Hereditary thermosensitive neuropathy	Hereditary thermosensitive neuropathy	715645004	Hereditary thermosensitive neuropathy (disorder)	
590	570	Moebius syndrome	Moebius syndrome	766987006	Moebius syndrome (disorder)	
591	79099	Interstitial granulomatous dermatitis with arthritis	Interstitial granulomatous dermatitis with arthritis	773732005	Interstitial granulomatous dermatitis with arthritis (disorder)	
592	280397	Familial Alzheimer-like prion disease	Familial Alzheimer-like prion disease	721219005	Familial Alzheimer-like prion disease (disorder)	
593	400	Cystic echinococcosis	Cystic echinococcosis	721822004	Cystic echinococcosis (disorder)	
594	163708	Cryptogenic late-onset epileptic spasms	Cryptogenic late-onset epileptic spasms	778063003	Cryptogenic late-onset epileptic spasms (disorder)	
595	391384	Familial episodic pain syndrome	Familial episodic pain syndrome	782756008	Familial episodic pain syndrome (disorder)	
596	217396	Progressive polyneuropathy with bilateral striatal necrosis	Progressive polyneuropathy with bilateral striatal necrosis	771305006	Progressive polyneuropathy with bilateral striatal necrosis (disorder)	
597	293173	Acute generalized exanthematous pustulosis	Acute generalized exanthematous pustulosis	702617007	Acute generalized exanthematous pustulosis (disorder)	
598	168940	Chronic eosinophilic leukemia	Chronic eosinophilic leukemia	188733003	Chronic eosinophilic leukemia (disorder)	
599	812	Sialidosis type 1	Sialidosis type 1	723675006	Sialidosis type 1 (disorder)	
600	99940	Autosomal dominant Charcot-Marie-Tooth disease type 2F	Autosomal dominant Charcot-Marie-Tooth disease type 2F	719510006	Autosomal dominant Charcot-Marie-Tooth disease type 2F (disorder)	
601	77243	Lipedema	Lipedema	234102003	Lipedema (disorder)	
602	42	Medium chain acyl-CoA dehydrogenase deficiency	Medium chain acyl-CoA dehydrogenase deficiency	393571006	Medium chain acyl-CoA dehydrogenase deficiency (disorder)	
603	88659	Autosomal dominant progressive nephropathy with hypertension	Autosomal dominant progressive nephropathy with hypertension	703310005	Autosomal dominant progressive nephropathy with hypertension (disorder)	
604	83450	Regional odontodysplasia	Regional odontodysplasia	66063001	Regional odontodysplasia (disorder)	
605	90037	Drug-induced autoimmune hemolytic anemia	Drug-induced autoimmune hemolytic anemia	309742004	Drug-induced autoimmune hemolytic anemia (disorder)	
606	1428	Familial chondromalacia patellae	Familial chondromalacia patellae	726628003	Familial chondromalacia patellae (disorder)	
607	370039	Angora hair nevus	Angora hair nevus	774210006	Angora hair nevus (disorder)	
608	73263	Zygomycosis	Zygomycosis	59277005	Zygomycosis (disorder)	
609	98879	Hemophilia B	Hemophilia B	41788008	Hemophilia B (disorder)	
610	101110	Spinocerebellar ataxia type 20	Spinocerebellar ataxia type 20	718771009	Spinocerebellar ataxia type 20 (disorder)	
611	98971	Posterior amorphous corneal dystrophy	Posterior amorphous corneal dystrophy	719296002	Posterior amorphous corneal dystrophy (disorder)	
612	98	Autosomal recessive spastic ataxia of Charlevoix-Saguenay	Autosomal recessive spastic ataxia of Charlevoix-Saguenay	702445005	Autosomal recessive spastic ataxia of Charlevoix-Saguenay (disorder)	
613	99946	Autosomal dominant Charcot-Marie-Tooth disease type 2A1	Autosomal dominant Charcot-Marie-Tooth disease type 2A1	717016001	Autosomal dominant Charcot-Marie-Tooth disease type 2A1 (disorder)	
614	329883	Non-hypoproteinemic hypertrophic gastropathy	Non-hypoproteinemic hypertrophic gastropathy	773397000	Non-hypoproteinemic hypertrophic gastropathy (disorder)	
615	79302	Congenital bile acid synthesis defect type 3	Congenital bile acid synthesis defect type 3	719454003	Congenital bile acid synthesis defect type 3 (disorder)	
616	139406	Encephalopathy due to prosaposin deficiency	Encephalopathy due to prosaposin deficiency	720864008	Encephalopathy due to prosaposin deficiency (disorder)	
617	93292	Adenoma of pancreas	Adenoma of pancreas	208061000119101	Adenoma of pancreas (disorder)	
618	64722	Granulomatous mastitis	Granulomatous mastitis	237444008	Granulomatous mastitis (disorder)	
619	3437	Vogt-Koyanagi-Harada disease	Vogt-Koyanagi-Harada disease	193497004	Vogt-Koyanagi-Harada disease (disorder)	
620	401840	Autosomal recessive spastic paraplegia type 71	Autosomal recessive spastic paraplegia type 71	782726004	Autosomal recessive spastic paraplegia type 71 (disorder)	
621	1561	Fatal infantile cytochrome C oxidase deficiency	Fatal infantile cytochrome C oxidase deficiency	718124006	Fatal infantile cytochrome C oxidase deficiency (disorder)	
622	97230	Solar urticaria	Solar urticaria	10347006	Solar urticaria (disorder)	
623	2566	Chronic Epstein-Barr virus infection syndrome	Chronic Epstein-Barr virus infection syndrome	773738009	Chronic Epstein-Barr virus infection syndrome (disorder)	
624	2571	X-linked immunoneurologic disorder	X-linked immunoneurologic disorder	719827008	X-linked immunoneurologic disorder (disorder)	
625	352740	Ocular albinism with congenital sensorineural deafness	Ocular albinism with congenital sensorineural deafness	773575001	Ocular albinism with congenital sensorineural deafness (disorder)	
626	67046	3-methylglutaconic aciduria type 1	3-methylglutaconic aciduria type 1	237951008	3-Methylglutaconic aciduria type 1 (disorder)	
627	2583	Mycetoma	Mycetoma	410039003	Mycetoma (disorder)	
628	370131	White platelet syndrome	White platelet syndrome	718553004	White platelet syndrome (disorder)	
629	46	Adenylosuccinate lyase deficiency	Adenylosuccinate lyase deficiency	15285008	Adenylosuccinate lyase deficiency (disorder)	
630	99953	Charcot-Marie-Tooth disease type 4G	Charcot-Marie-Tooth disease type 4G	715799004	Charcot-Marie-Tooth disease type 4G (disorder)	
631	100976	Bathing suit ichthyosis	Bathing suit ichthyosis	725588002	Bathing suit ichthyosis (disorder)	
632	33067	Metaphyseal chondrodysplasia, Jansen type	Metaphyseal chondrodysplasia, Jansen type	24629003	Metaphyseal chondrodysplasia, Jansen type (disorder)	
633	83483	La Crosse encephalitis	La Crosse encephalitis	61094002	La Crosse encephalitis (disorder)	
634	577	Mucolipidosis type III	Mucolipidosis type III	190949005	Mucolipidosis type III (disorder)	
635	93357	SPONASTRIME dysplasia	SPONASTRIME dysplasia	389161008	Sponastrime dysplasia (disorder)	
636	98896	Duchenne muscular dystrophy	Duchenne muscular dystrophy	76670001	Duchenne muscular dystrophy (disorder)	
637	1334	Chronic mucocutaneous candidiasis	Chronic mucocutaneous candidiasis	234568006	Chronic mucocutaneous candidiasis (disorder)	
638	158799	Aleukemic mast cell leukemia	Aleukemic mast cell leukemia	770402000	Aleukemic mast cell leukemia (disorder)	
639	178509	Perry syndrome	Perry syndrome	699184009	Perry syndrome (disorder)	
640	99845	Genetic recurrent myoglobinuria	Genetic recurrent myoglobinuria	716721003	Genetic recurrent myoglobinuria (disorder)	
641	141184	Rapidly involuting congenital hemangioma	Rapidly involuting congenital hemangioma	703294004	Rapidly involuting congenital hemangioma (disorder)	
642	324588	Familial dyskinesia and facial myokymia	Familial dyskinesia and facial myokymia	763352005	Familial dyskinesia and facial myokymia (disorder)	
643	399096	Distal anoctaminopathy	Distal anoctaminopathy	783166000	Distal anoctaminopathy (disorder)	
644	88618	Psychomotor retardation due to S-adenosylhomocysteine hydrolase deficiency	Psychomotor retardation due to S-adenosylhomocysteine hydrolase deficiency	724039002	Psychomotor retardation due to S-adenosylhomocysteine hydrolase deficiency (disorder)	
645	101003	Autosomal recessive spastic paraplegia type 23	Autosomal recessive spastic paraplegia type 23	726608002	Autosomal recessive spastic paraplegia type 23 (disorder)	
646	251880	Ependymoblastoma	Ependymoblastoma	715901002	Ependymoblastoma (disorder)	
647	83600	Encephalitis lethargica	Encephalitis lethargica	186499007	Encephalitis lethargica (disorder)	
648	93921	Neurofibromatosis type 3	Neurofibromatosis type 3	254240003	Neurofibromatosis type 3 (disorder)	
649	91351	Pituitary dermoid and epidermoid cysts	Pituitary dermoid and epidermoid cysts	783008000	Pituitary dermoid and epidermoid cysts (disorder)	
650	401830	Autosomal recessive spastic paraplegia type 69	Autosomal recessive spastic paraplegia type 69	782725000	Autosomal recessive spastic paraplegia type 69 (disorder)	
651	397735	Autosomal dominant Charcot-Marie-Tooth disease type 2U	Autosomal dominant Charcot-Marie-Tooth disease type 2U	765046002	Autosomal dominant Charcot-Marie-Tooth disease type 2U (disorder)	
652	300319	Charcot-Marie-Tooth disease type 2P	Charcot-Marie-Tooth disease type 2P	782826009	Charcot-Marie-Tooth disease type 2P (disorder)	
653	252183	Neurofibroma	Neurofibroma	404029005	Neurofibroma (disorder)	
654	280917	Idiopathic posterior uveitis	Idiopathic posterior uveitis	773991005	Idiopathic posterior uveitis (disorder)	
655	244	Primary ciliary dyskinesia	Primary ciliary dyskinesia	9057007	Primary ciliary dyskinesia (disorder)	
656	1482	Gonococcal conjunctivitis	Gonococcal conjunctivitis	231858009	Gonococcal conjunctivitis (disorder)	
657	75373	Progressive bifocal chorioretinal atrophy	Progressive bifocal chorioretinal atrophy	719266007	Progressive bifocal chorioretinal atrophy (disorder)	
658	209970	Episodic ataxia type 7	Episodic ataxia type 7	718752007	Episodic ataxia type 7 (disorder)	
659	656	Familial idiopathic steroid-resistant nephrotic syndrome	Familial idiopathic steroid-resistant nephrotic syndrome	718141008	Familial idiopathic steroid-resistant nephrotic syndrome (disorder)	
660	49804	Lichen amyloidosis	Lichen amyloidosis	718105008	Lichen amyloidosis (disorder)	
661	101076	X-linked Charcot-Marie-Tooth disease type 2	X-linked Charcot-Marie-Tooth disease type 2	763457000	X-linked Charcot-Marie-Tooth disease type 2 (disorder)	
662	357225	Primary non-essential cutis verticis gyrata	Primary non-essential cutis verticis gyrata	778044004	Primary non-essential cutis verticis gyrata (disorder)	
663	98755	Spinocerebellar ataxia type 1	Spinocerebellar ataxia type 1	715748006	Spinocerebellar ataxia type 1 (disorder)	
664	100045	Autosomal dominant intermediate Charcot-Marie-Tooth disease type C	Autosomal dominant intermediate Charcot-Marie-Tooth disease type C	765746008	Autosomal dominant intermediate Charcot-Marie-Tooth disease type C (disorder)	
665	217656	Familial isolated arrhythmogenic right ventricular dysplasia	Familial isolated arrhythmogenic right ventricular dysplasia	715865008	Familial isolated arrhythmogenic right ventricular dysplasia (disorder)	
666	319519	Combined oxidative phosphorylation defect type 14	Combined oxidative phosphorylation defect type 14	778065005	Combined oxidative phosphorylation defect type 14 (disorder)	
667	157	Carnitine palmitoyltransferase II deficiency	Carnitine palmitoyltransferase II deficiency	238002005	Carnitine palmitoyltransferase II deficiency (disorder)	
668	363447	Autosomal dominant childhood-onset proximal spinal muscular atrophy	Autosomal dominant childhood-onset proximal spinal muscular atrophy	772129007	Autosomal dominant childhood-onset proximal spinal muscular atrophy (disorder)	
669	324381	Hereditary inclusion body myopathy type 4	Hereditary inclusion body myopathy type 4	770786001	Hereditary inclusion body myopathy type 4 (disorder)	
670	263543	Generalized peeling skin syndrome	Generalized peeling skin syndrome	718749004	Generalized peeling skin syndrome (disorder)	
671	83593	Western equine encephalitis	Western equine encephalitis	47523006	Western equine encephalitis (disorder)	
672	1302	Cryptogenic organizing pneumonia	Cryptogenic organizing pneumonia	719218000	Cryptogenic organizing pneumonia (disorder)	
673	99939	Autosomal dominant Charcot-Marie-Tooth disease type 2E	Autosomal dominant Charcot-Marie-Tooth disease type 2E	717012004	Autosomal dominant Charcot-Marie-Tooth disease type 2E (disorder)	
674	171690	Metabolic myopathy due to lactate transporter defect	Metabolic myopathy due to lactate transporter defect	766715000	Metabolic myopathy due to lactate transporter defect (disorder)	
675	64741	Pulmonary blastoma	Pulmonary blastoma	189815007	Pulmonary blastoma (disorder)	
676	73272	Growth delay due to insulin-like growth factor type 1 deficiency	Growth delay due to insulin-like growth factor type 1 deficiency	724385009	Growth delay due to insulin-like growth factor type 1 deficiency (disorder)	
677	280620	Progressive myoclonic epilepsy type 6	Progressive myoclonic epilepsy type 6	783062001	Progressive myoclonic epilepsy type 6 (disorder)	
678	281139	Annular epidermolytic ichthyosis	Annular epidermolytic ichthyosis	718631006	Annular epidermolytic ichthyosis (disorder)	
679	49566	Acquired purpura fulminans	Acquired purpura fulminans	725157006	Acquired purpura fulminans (disorder)	
680	35069	Infantile neuroaxonal dystrophy	Infantile neuroaxonal dystrophy	52713000	Infantile neuroaxonal dystrophy (disorder)	
681	71211	Neuromyelitis optica	Neuromyelitis optica	25044007	Neuromyelitis optica (disorder)	
682	99147	Acquired von Willebrand syndrome	Acquired von Willebrand syndrome	60078000	Acquired von Willebrand syndrome (disorder)	
683	401859	Lipoic acid synthetase deficiency	Lipoic acid synthetase deficiency	782744007	Lipoic acid synthetase deficiency (disorder)	
684	763	Pycnodysostosis	Pycnodysostosis	190939007	Pycnodysostosis (disorder)	
685	158668	Epidermolysis bullosa simplex due to plakophilin deficiency	Epidermolysis bullosa simplex due to plakophilin deficiency	716699004	Epidermolysis bullosa simplex due to plakophilin deficiency (disorder)	
686	401768	Proximal myopathy with extrapyramidal signs	Proximal myopathy with extrapyramidal signs	770722002	Proximal myopathy with extrapyramidal signs (disorder)	
687	157941	Huntington disease-like 1	Huntington disease-like 1	784371009	Huntington disease-like 1 (disorder)	
688	352670	Autosomal dominant intermediate Charcot-Marie-Tooth disease type F	Autosomal dominant intermediate Charcot-Marie-Tooth disease type F	770759001	Autosomal dominant intermediate Charcot-Marie-Tooth disease type F (disorder)	
689	67039	Segmental odontomaxillary dysplasia	Segmental odontomaxillary dysplasia	699756005	Segmental odontomaxillary dysplasia (disorder)	
690	101097	Autosomal recessive Charcot-Marie-Tooth disease with hoarseness	Autosomal recessive Charcot-Marie-Tooth disease with hoarseness	725047007	Autosomal recessive Charcot-Marie-Tooth disease with hoarseness (disorder)	
691	3000	Familial male-limited precocious puberty	Familial male-limited precocious puberty	725295005	Familial male-limited precocious puberty (disorder)	
692	209916	Extraskeletal myxoid chondrosarcoma	Extraskeletal myxoid chondrosarcoma	404079008	Extraskeletal myxoid chondrosarcoma (disorder)	
693	171	Primary sclerosing cholangitis	Primary sclerosing cholangitis	197441003	Primary sclerosing cholangitis (disorder)	
694	137834	Frank-Ter Haar syndrome	Frank-Ter Haar syndrome	720958002	Frank-Ter Haar syndrome (disorder)	
695	615	Familial atrial myxoma	Familial atrial myxoma	233855002	Familial atrial myxoma (disorder)	
696	314928	Normal pressure hydrocephalus	Normal pressure hydrocephalus	30753002	Normal pressure hydrocephalus (disorder)	
697	86813	Helicoid peripapillary chorioretinal degeneration	Helicoid peripapillary chorioretinal degeneration	724384008	Helicoid peripapillary chorioretinal degeneration (disorder)	
698	320380	Autosomal recessive spastic paraplegia type 54	Autosomal recessive spastic paraplegia type 54	723824005	Autosomal recessive spastic paraplegia type 54 (disorder)	
699	169110	Immunoglobulin heavy chain deficiency	Immunoglobulin heavy chain deficiency	234539005	Immunoglobulin heavy chain deficiency (disorder)	
700	1876	Oculogastrointestinal muscular dystrophy	Oculogastrointestinal muscular dystrophy	722060007	Oculogastrointestinal muscular dystrophy (disorder)	
701	99956	Charcot-Marie-Tooth disease type 4B2	Charcot-Marie-Tooth disease type 4B2	715800000	Charcot-Marie-Tooth disease type 4B2 (disorder)	
702	702	Pelizaeus-Merzbacher disease	Pelizaeus-Merzbacher disease	64855000	Pelizaeus-Merzbacher disease (disorder)	
703	168549	Axial spondylometaphyseal dysplasia	Axial spondylometaphyseal dysplasia	771301002	Axial spondylometaphyseal dysplasia (disorder)	
704	171881	Cap myopathy	Cap myopathy	703532002	Cap myopathy (disorder)	
705	191	Cockayne syndrome	Cockayne syndrome	21086008	Cockayne syndrome (disorder)	
706	79151	Acrokeratosis verruciformis of Hopf	Acrokeratosis verruciformis of Hopf	400085009	Acrokeratosis verruciformis of Hopf (disorder)	
707	370968	Congenital muscular dystrophy with intellectual disability	Congenital muscular dystrophy with intellectual disability	783174004	Congenital muscular dystrophy with intellectual disability (disorder)	
708	635	Neuroblastoma	Neuroblastoma	432328008	Neuroblastoma (disorder)	
709	79480	Pemphigus erythematosus	Pemphigus erythematosus	36739006	Pemphigus erythematosus (disorder)	
710	342	Familial Mediterranean fever	Familial Mediterranean fever	12579009	Familial Mediterranean fever (disorder)	
711	86819	Atrichia with papular lesions	Atrichia with papular lesions	715963002	Atrichia with papular lesions (disorder)	
712	49042	Dentinogenesis imperfecta	Dentinogenesis imperfecta	367461002	Dentinogenesis imperfecta (disorder)	
713	324535	Combined oxidative phosphorylation defect type 11	Combined oxidative phosphorylation defect type 11	783558004	Combined oxidative phosphorylation defect type 11 (disorder)	
714	60032	Recurrent respiratory papillomatosis	Recurrent respiratory papillomatosis	472827002	Recurrent respiratory papillomatosis (disorder)	
715	722	Hypoplasminogenemia	Hypoplasminogenemia	95840007	Hypoplasminogenemia (disorder)	
716	171445	Muscle filaminopathy	Muscle filaminopathy	764992006	Muscle filaminopathy (disorder)	
717	90695	Panhypopituitarism	Panhypopituitarism	32390006	Panhypopituitarism (disorder)	
718	139518	Distal hereditary motor neuropathy type 1	Distal hereditary motor neuropathy type 1	770630005	Distal hereditary motor neuropathy type 1 (disorder)	
719	2157	Histidinemia	Histidinemia	410058007	Histidinemia (disorder)	
720	391316	Infantile-onset mesial temporal lobe epilepsy with severe cognitive regression	Infantile-onset mesial temporal lobe epilepsy with severe cognitive regression	773421009	Infantile-onset mesial temporal lobe epilepsy with severe cognitive regression (disorder)	
721	300512	Onychomatricoma	Onychomatricoma	773629001	Onychomatricoma (disorder)	
722	864	Trichofolliculoma	Trichofolliculoma	274899008	Trichofolliculoma (disorder)	
723	79135	Episodic ataxia type 3	Episodic ataxia type 3	718755009	Episodic ataxia type 3 (disorder)	
724	31204	Nocardiosis	Nocardiosis	29227009	Nocardiosis (disorder)	
725	401	Hymenolepiasis	Hymenolepiasis	44917000	Hymenolepiasis (disorder)	
726	320411	Autosomal recessive spastic paraplegia type 56	Autosomal recessive spastic paraplegia type 56	783764008	Autosomal recessive spastic paraplegia type 56 (disorder)	
727	101046	Autosomal dominant epilepsy with auditory features	Autosomal dominant epilepsy with auditory features	784377008	Autosomal dominant epilepsy with auditory features (disorder)	
728	215	Congenital stationary night blindness	Congenital stationary night blindness	232061009	Congenital stationary night blindness (disorder)	
729	157835	Paroxysmal hemicrania	Paroxysmal hemicrania	443094001	Paroxysmal hemicrania (disorder)	
730	86852	B-cell prolymphocytic leukemia	B-cell prolymphocytic leukemia	277619001	B-cell prolymphocytic leukemia (disorder)	
731	334	Familial atrial fibrillation	Familial atrial fibrillation	715395008	Familial atrial fibrillation (disorder)	
732	353351	Idiopathic macular telangiectasia type 3	Idiopathic macular telangiectasia type 3	773992003	Idiopathic macular telangiectasia type 3 (disorder)	
733	101010	Autosomal spastic paraplegia type 30	Autosomal spastic paraplegia type 30	763377006	Autosomal spastic paraplegia type 30 (disorder)	
734	499009	Congenital syphilis	Congenital syphilis	35742006	Congenital syphilis (disorder)	
735	90281	Discoid lupus erythematosus	Discoid lupus erythematosus	200938002	Discoid lupus erythematosus (disorder)	
736	101007	Autosomal recessive spastic paraplegia type 27	Autosomal recessive spastic paraplegia type 27	778030005	Autosomal recessive spastic paraplegia type 27 (disorder)	
737	319229	Bolivian hemorrhagic fever	Bolivian hemorrhagic fever	67247008	Bolivian hemorrhagic fever (disorder)	
738	280779	Cutaneous collagenous vasculopathy	Cutaneous collagenous vasculopathy	718634003	Cutaneous collagenous vasculopathy (disorder)	
739	94124	Spinocerebellar ataxia with axonal neuropathy type 1	Spinocerebellar ataxia with axonal neuropathy type 1	765091006	Spinocerebellar ataxia with axonal neuropathy type 1 (disorder)	
740	255132	Adult-onset autosomal recessive sideroblastic anemia	Adult-onset autosomal recessive sideroblastic anemia	720465002	Adult-onset autosomal recessive sideroblastic anemia (disorder)	
741	2431	Central bilateral macrogyria	Central bilateral macrogyria	720632004	Central bilateral macrogyria (disorder)	
742	280062	Calciphylaxis	Calciphylaxis	237900002	Calciphylaxis (disorder)	
743	128	Diphyllobothriasis	Diphyllobothriasis	187151009	Diphyllobothriasis (disorder)	
744	79277	Congenital erythropoietic porphyria	Congenital erythropoietic porphyria	22935002	Congenital erythropoietic porphyria (disorder)	
745	655	Nephronophthisis	Nephronophthisis	204958008	Nephronophthisis (disorder)	
746	251992	Ganglioneuroma	Ganglioneuroma	116371000119107	Ganglioneuroma (disorder)	
747	231040	Familial generalized lentiginosis	Familial generalized lentiginosis	765195000	Familial generalized lentiginosis (disorder)	
748	254478	Lichen planus pemphigoides	Lichen planus pemphigoides	238653005	Lichen planus pemphigoides (disorder)	
749	319160	Congenital myopathy with internal nuclei and atypical cores	Congenital myopathy with internal nuclei and atypical cores	764945007	Congenital myopathy with internal nuclei and atypical cores (disorder)	
750	1560	Cysticercosis	Cysticercosis	59051007	Cysticercosis (disorder)	
751	99949	Charcot-Marie-Tooth disease type 4C	Charcot-Marie-Tooth disease type 4C	715797002	Charcot-Marie-Tooth disease type 4C (disorder)	
752	243367	Acute fatty liver of pregnancy	Acute fatty liver of pregnancy	716379000	Acute fatty liver of pregnancy (disorder)	
753	98762	Spinocerebellar ataxia type 12	Spinocerebellar ataxia type 12	719208005	Spinocerebellar ataxia type 12 (disorder)	
754	90291	Systemic sclerosis	Systemic sclerosis	89155008	Systemic sclerosis (disorder)	
755	800	Schwartz-Jampel syndrome	Schwartz-Jampel syndrome	29145002	Schwartz-Jampel syndrome (disorder)	
756	586	Cystic fibrosis	Cystic fibrosis	190905008	Cystic fibrosis (disorder)	
757	309147	Hyper-beta-alaninemia	Hyper-beta-alaninemia	2359002	Hyper-beta-alaninemia (disorder)	
758	926	Acatalasemia	Acatalasemia	267454002	Acatalasemia (disorder)	
759	247353	Generalized pustular psoriasis	Generalized pustular psoriasis	238612002	Generalized pustular psoriasis (disorder)	
760	1267	Botulism	Botulism	49248004	Botulism (disorder)	
761	91546	Lyme disease	Lyme disease	23502006	Lyme disease (disorder)	
762	100997	X-linked spastic paraplegia type 16	X-linked spastic paraplegia type 16	783697000	X-linked spastic paraplegia type 16 (disorder)	
763	370097	Oculocutaneous albinism type 6	Oculocutaneous albinism type 6	722058005	Oculocutaneous albinism type 6 (disorder)	
764	424970	Undifferentiated carcinoma of liver and intrahepatic biliary tract	Undifferentiated carcinoma of liver and intrahepatic biliary tract	770685009	Undifferentiated carcinoma of liver and intrahepatic biliary tract (disorder)	
765	79264	Juvenile neuronal ceroid lipofuscinosis	Juvenile neuronal ceroid lipofuscinosis	61663001	Juvenile neuronal ceroid lipofuscinosis (disorder)	
766	178461	X-linked myopathy with postural muscle atrophy	X-linked myopathy with postural muscle atrophy	773729007	X-linked myopathy with postural muscle atrophy (disorder)	
767	86920	Dermatopathia pigmentosa reticularis	Dermatopathia pigmentosa reticularis	239088003	Dermatopathia pigmentosa reticularis (disorder)	
768	60041	Congenital heart block	Congenital heart block	46619002	Congenital heart block (disorder)	
769	411593	Insulin autoimmune syndrome	Insulin autoimmune syndrome	408539000	Insulin autoimmune syndrome (disorder)	
770	251618	Subependymal giant cell astrocytoma	Subependymal giant cell astrocytoma	449799008	Subependymal giant cell astrocytoma (disorder)	
771	816	Sjögren-Larsson syndrome	Sjögren-Larsson syndrome	111303009	Sjögren-Larsson syndrome (disorder)	
772	166308	Benign infantile focal epilepsy with midline spikes and waves during sleep	Benign infantile focal epilepsy with midline spikes and waves during sleep	770622009	Benign infantile focal epilepsy with midline spikes and waves during sleep (disorder)	
773	98976	Congenital glaucoma	Congenital glaucoma	392371002	Congenital glaucoma (disorder)	
774	300547	Autosomal recessive infantile hypercalcemia	Autosomal recessive infantile hypercalcemia	771445001	Autosomal recessive infantile hypercalcemia (disorder)	
775	86897	Langerhans cell sarcoma	Langerhans cell sarcoma	724649000	Langerhans cell sarcoma (disorder)	
776	99880	Hyperparathyroidism-jaw tumor syndrome	Hyperparathyroidism-jaw tumor syndrome	702378002	Hyperparathyroidism-jaw tumor syndrome (disorder)	
777	300293	Transient infantile hypertriglyceridemia and hepatosteatosis	Transient infantile hypertriglyceridemia and hepatosteatosis	773649005	Transient infantile hypertriglyceridemia and hepatosteatosis (disorder)	
