	ORDO_ID	Concept	Mapped_Term	SNOMED_ID	SNOMED_Term	Score
170	140922	Autosomal recessive limb-girdle muscular dystrophy type 2J	Autosomal recessive limb-girdle muscular dystrophy type 2J	725042001	Autosomal recessive limb girdle muscular dystrophy type 2J (disorder)	1000
286	140905	Hyperlipidemia due to hepatic triacylglycerol lipase deficiency	Hyperlipidemia due to hepatic triglyceride lipase deficiency	720940008	Hepatic lipase deficiency (disorder)	1000
6	139512	Neuropathy with hearing impairment	Neuropathy with hearing impairment	723497003	Peripheral neuropathy with sensorineural hearing impairment syndrome (disorder)	1000
72	137935	Laryngotracheal angioma	Laryngotracheal angioma	703199001	Laryngotracheal hemangioma (disorder)	1000
399	137908	Hypotonia with lactic acidemia and hyperammonemia	Combined oxidative phosphorylation defect type 5	724279004	Combined oxidative phosphorylation defect type 5 (disorder)	1000
401	137831	X-linked intellectual disability-cerebellar hypoplasia syndrome	Oligophrenin-1 syndrome	719136005	X-linked intellectual disability with cerebellar hypoplasia syndrome (disorder)	1000
396	137810	Nodular cutaneous amyloidosis	Primary localized cutaneous nodular amyloidosis	716704007	Primary localized cutaneous nodular amyloidosis (disorder)	1000
360	137625	Glycogen storage disease due to muscle and heart glycogen synthase deficiency	Glycogen storage disease type 0b	725027004	Muscle and heart glycogen synthase deficiency (disorder)	1000
123	103920	Undetermined colitis	Undetermined colitis	235746007	Indeterminate colitis (disorder)	1000
442	103918	Tropical pancreatitis	Tropical calcific chronic pancreatitis	724540009	Tropical calcific chronic pancreatitis (disorder)	1000
319	100924	Porphyria due to ALA dehydratase deficiency	ALAD porphyria	64081000	Porphobilinogen synthase deficiency (disorder)	1000
56	100083	Laryngeal neuroendocrine tumor	Laryngeal neuroendocrine tumor	707625001	Neuroendocrine neoplasm of larynx (disorder)	1000
448	99908	Pigeon-breeder lung disease	Bird fancier lung	69339004	Bird-fanciers' lung (disorder)	1000
15	99869	Thymic neuroendocrine carcinoma	Thymic neuroendocrine carcinoma	716653001	Neuroendocrine carcinoma of thymus (disorder)	1000
50	99852	Ravine syndrome	Ravine syndrome	715794009	Progressive encephalopathy with severe infantile anorexia (disorder)	1000
146	99832	Resistance to thyrotropin-releasing hormone syndrome	Resistance to thyrotropin-releasing hormone syndrome	725462002	Congenital central hypothyroidism due to thyrotropin-releasing hormone receptor deficiency (disorder)	1000
37	99736	Acetazolamide-responsive myotonia	Acetazolamide-responsive myotonia	715793003	Acetazolamide responsive myotonia (disorder)	1000
252	99015	Spastic paraplegia type 2	Spastic paraplegia type 2	723622007	X-linked spastic paraplegia type 2 (disorder)	1000
42	99003	Multifocal pattern dystrophy simulating fundus flavimaculatus	Multifocal pattern dystrophy simulating fundus flavimaculatus	723408004	Multifocal pattern dystrophy of retinal pigment epithelium simulating fundus flavimaculatus (disorder)	1000
23	99001	Butterfly-shaped pigment dystrophy	Butterfly-shaped pigment dystrophy	725590001	Butterfly-shaped pigmentary macular dystrophy (disorder)	1000
334	98917	Acute motor and sensory axonal neuropathy	Acute motor-sensory axonal Guillain-Barre syndrome	716722005	Acute motor sensory axonal Guillain-Barré syndrome (disorder)	1000
232	98916	Acute inflammatory demyelinating polyradiculoneuropathy	Acute inflammatory demyelinating polyradiculoneuropathy	26261000119109	Acute inflammatory demyelinating polyneuropathy (disorder)	1000
100	98839	Intravascular large B-cell lymphoma	Intravascular large B-cell lymphoma	255102004	Angioendotheliomatosis (disorder)	1000
185	98838	Primary mediastinal large B-cell lymphoma	Primary mediastinal large B-cell lymphoma	444910004	Primary mediastinal (thymic) large B-cell lymphoma (disorder)	1000
149	98808	Autosomal dominant dopa-responsive dystonia	Autosomal dominant dopa-responsive dystonia	715768000	Autosomal dominant dopa responsive dystonia (disorder)	1000
430	98807	Primary dystonia, DYT13 type	Primary dystonia with mixed phenotype	719278006	Primary dystonia type 13 (disorder)	1000
416	98805	Primary dystonia, DYT4 type	Hereditary whispering dysphonia	719276005	Primary dystonia type 4 (disorder)	1000
277	98673	Autosomal dominant optic atrophy, classic form	Optic atrophy type 1	717336005	Autosomal dominant optic atrophy classic form (disorder)	1000
30	97566	Non-amyloid fibrillary glomerulopathy	Non-amyloid fibrillary glomerulopathy	718192000	Non-amyloid fibrillary glomerulonephritis (disorder)	1000
96	97336	Panner disease	Panner disease	203382004	Juvenile osteochondrosis of head of humerus (disorder)	1000
157	97287	Bronchial neuroendocrine tumor	Bronchial neuroendocrine tumor	707594002	Neuroendocrine neoplasm of lung (disorder)	1000
378	97278	PPoma	Pancreatic polypeptidoma	255039001	Pancreatic polypeptidoma (disorder)	1000
99	97244	Rigid spine syndrome	Rigid spine syndrome	240063002	Eichsfeld type congenital muscular dystrophy (disorder)	1000
298	95494	Combined pituitary hormone deficiencies, genetic forms	Familial congenital hypopituitarism	718182008	Combined pituitary hormone deficiency genetic form (disorder)	1000
245	95159	Hepatoerythropoietic porphyria	Hepatoerythropoietic porphyria	111386004	Homozygous porphyria cutanea tarda (disorder)	1000
147	92050	Congenital tufting enteropathy	Congenital tufting enteropathy	715669000	Congenital epithelial dysplasia of intestine (disorder)	1000
375	91136	Acquired monoclonal Ig light chain-associated Fanconi syndrome	Acquired monoclonal immunoglobulin light chain-associated Fanconi syndrome	724099000	Acquired monoclonal immunoglobulin light chain-associated Fanconi syndrome (disorder)	1000
169	91135	Body skin hyperlaxity due to vitamin K-dependent coagulation factor deficiency	Body skin hyperlaxity due to vitamin K-dependent coagulation factor deficiency	717941005	Body skin hyperlaxity due to vitamin K dependent coagulation factor deficiency (disorder)	1000
409	91131	DK1-CDG	Carbohydrate deficient glycoprotein syndrome type Im	718712005	Carbohydrate deficient glycoprotein syndrome type 1m (disorder)	1000
331	90674	Isolated thyroid-stimulating hormone deficiency	Isolated TSH deficiency	89261000	Isolated thyrotropin deficiency (disorder)	1000
256	90658	Charcot-Marie-Tooth disease type 1E	Charcot-Marie-Tooth disease type 1E	715666007	Charcot-Marie-Tooth disease type IE (disorder)	1000
179	90280	Chilblain lupus	Chilblain lupus	238928005	Chilblain lupus erythematosus (disorder)	1000
137	90118	Severe early-onset axonal neuropathy due to MFN2 deficiency	Severe early-onset axonal neuropathy due to MFN2 deficiency	766977007	Severe early-onset axonal neuropathy due to mitofusin 2 deficiency (disorder)	1000
434	90023	Primary immunodeficiency syndrome due to LAMTOR2 deficiency	Primary immunodeficiency syndrome with short stature	718717004	Primary immunodeficiency syndrome due to p14 deficiency (disorder)	1000
75	90021	Radiation myelitis	Radiation myelitis	763869003	Myelitis caused by ionizing radiation following radiotherapy (disorder)	1000
283	90003	IgG4-related hepatopathy	Inflammatory pseudotumor of the liver	717329009	Inflammatory pseudotumor of liver (disorder)	1000
192	89936	X-linked hypophosphatemia	X-linked hypophosphatemia	82236004	Familial x-linked hypophosphatemic vitamin D refractory rickets (disorder)	1000
421	88660	Hypertension due to gain-of-function mutations in the mineralocorticoid receptor	Pseudohyperaldosteronism type 2	766937004	Hypertension due to gain-of-function mutation in mineralocorticoid receptor (disorder)	1000
129	86870	CD4+/CD56+ hematodermic neoplasm	CD4+/CD56+ hematodermic neoplasm	445030005	Blastic plasmacytoid dendritic cell neoplasm (morphologic abnormality)	1000
395	86841	Myelodysplastic syndrome associated with isolated del(5q) chromosome abnormality	5q- syndrome	277597005	Myelodysplastic syndrome with isolated del(5q) (disorder)	1000
87	86820	Familial avascular necrosis of femoral head	Familial avascular necrosis of femoral head	715657008	Familial avascular necrosis of head of femur (disorder)	1000
240	86812	Autosomal recessive limb-girdle muscular dystrophy type 2K	Autosomal recessive limb-girdle muscular dystrophy type 2K	720523006	Autosomal recessive limb girdle muscular dystrophy type 2K (disorder)	1000
110	85451	ATTRV122I amyloidosis	ATTRV122I amyloidosis	715655000	Transthyretin related familial amyloid cardiomyopathy (disorder)	1000
310	85450	Hereditary amyloidosis with primary renal involvement	Familial renal amyloidosis	66451004	Familial visceral amyloidosis, Ostertag type (disorder)	1000
390	85436	Psoriasis-related juvenile idiopathic arthritis	Juvenile psoriatic arthritis	239802003	Juvenile psoriatic arthritis (disorder)	1000
325	85162	Facial onset sensory and motor neuronopathy	FOSMN syndrome	723306004	Facial onset sensory and motor neuronopathy syndrome (disorder)	1000
372	84132	Desmin-related myopathy with Mallory body-like inclusions	Early-onset desmin-related myopathy	715646003	Desmin related myopathy with Mallory body-like inclusions (disorder)	1000
293	84087	Collagen type III glomerulopathy	Collagenofibrotic glomerulopathy	708127008	Collagenofibrotic glomerulopathy (disorder)	1000
14	84085	Hinman syndrome	Hinman syndrome	429233001	Nonneurogenic neurogenic bladder dysfunction (disorder)	1000
366	84081	Senior-Boichis syndrome	Nephronophthisis-hepatic fibrosis syndrome	717187000	Nephronophthisis hepatic fibrosis syndrome (disorder)	1000
168	83620	Enteric anendocrinosis	Enteric anendocrinosis	722392003	Congenital malabsorptive diarrhea due to paucity of enteroendocrine cells (disorder)	1000
275	83465	Narcolepsy type 2	Narcolepsy without cataplexy	91521000119104	Narcolepsy without cataplexy (disorder)	1000
93	83316	Pseudotyphus of California	Pseudotyphus of California	764104003	Infection caused by Rickettsia felis (disorder)	1000
266	79492	Pili gemini	Pili multigemini	717360009	Pili bifurcati (disorder)	1000
432	79433	Oculocutaneous albinism type 3	Rufous oculocutaneous albinism	63450009	Rufous albinism (disorder)	1000
397	79326	ALG2-CDG	Carbohydrate deficient glycoprotein syndrome type Ii	277894008	Carbohydrate-deficient glycoprotein syndrome type II (disorder)	1000
16	79299	Hyperinsulinism due to glucokinase deficiency	Hyperinsulinism due to glucokinase deficiency	717182006	Hyperinsulinism due to deficiency of glucokinase (disorder)	1000
238	79237	Galactokinase deficiency	Galactokinase deficiency	124302001	Deficiency of galactokinase (disorder)	1000
422	79144	Isolated congenital onychodysplasia	COIF syndrome	403281007	Congenital onychodysplasia of index fingers (disorder)	1000
213	79134	DEND syndrome	DEND syndrome	721088003	Developmental delay, epilepsy, neonatal diabetes syndrome (disorder)	1000
394	79124	Hepatic veno-occlusive disease-immunodeficiency syndrome	VODI syndrome	724361001	Hepatic veno-occlusive disease with immunodeficiency syndrome (disorder)	1000
29	79097	Folinic acid-responsive seizures	Folinic acid-responsive seizures	717276003	Folinic acid responsive seizure syndrome (disorder)	1000
386	79095	Congenital bile acid synthesis defect type 4	AMACR deficiency	700463002	Alpha-methylacyl-CoA racemase deficiency disorder (disorder)	1000
294	79091	Hereditary inclusion body myopathy-joint contractures-ophthalmoplegia syndrome	Hereditary inclusion body myopathy type 3	724349009	Hereditary inclusion body myopathy, joint contracture, ophthalmoplegia syndrome (disorder)	1000
65	75563	X-linked sideroblastic anemia	X-linked sideroblastic anemia	48983004	X chromosome-linked sideroblastic anemia (disorder)	1000
362	75391	Primary immunodeficiency with natural-killer cell deficiency and adrenal insufficiency	Primary immunodeficiency due to MCM4 deficiency	724275005	Primary immunodeficiency with natural killer cell deficiency and adrenal insufficiency (disorder)	1000
120	75381	Cystoid macular dystrophy	Cystoid macular dystrophy	193387007	Cystoid macular edema (disorder)	1000
389	75376	Familial drusen	Dominant drusen	193411004	Dominant drusen (disorder)	1000
48	75326	Retinal arterial tortuosity	Retinal arterial tortuosity	247123003	Retinal arterial tortuosity (finding)	1000
118	71274	Disseminated peritoneal leiomyomatosis	Disseminated peritoneal leiomyomatosis	62557001	Leiomyomatosis peritonealis disseminata (disorder)	1000
2	70596	Congenital Epstein-Barr virus infection	Congenital Epstein-Barr virus infection	716660007	Congenital infection caused by Epstein-Barr virus (disorder)	1000
69	70590	Infantile apnea	Infantile apnea	724229002	Apnea of infancy (disorder)	1000
0	69735	Hypotrichosis-lymphedema-telangiectasia-renal defect syndrome	Hypotrichosis-lymphedema-telangiectasia-renal defect syndrome	723363009	Hypotrichosis, lymphedema, telangiectasia, renal defect syndrome (disorder)	1000
457	66634	Dilated cardiomyopathy with ataxia	3-methylglutaconic aciduria type 5	711412004	3-methylglutaconic aciduria type 5 (disorder)	1000
22	64753	Spinocerebellar ataxia with axonal neuropathy type 2	Spinocerebellar ataxia with axonal neuropathy type 2	725408001	Autosomal recessive cerebellar ataxia with oculomotor apraxia type 2 (disorder)	1000
139	60026	Pulmonary nodular lymphoid hyperplasia	Pulmonary nodular lymphoid hyperplasia	718097008	Nodular lymphoid hyperplasia of lung (disorder)	1000
161	57777	Cirrhotic cardiomyopathy	Cirrhotic cardiomyopathy	725416005	Cardiomyopathy co-occurrent and due to cirrhosis of liver (disorder)	1000
219	55881	Adamantinoma	Adamantinoma	20462008	Ameloblastoma (morphologic abnormality)	1000
235	55596	Autosomal dominant limb-girdle muscular dystrophy type 1G	Autosomal dominant limb-girdle muscular dystrophy type 1G	719990003	Autosomal dominant limb girdle muscular dystrophy type 1G (disorder)	1000
205	55595	Autosomal dominant limb-girdle muscular dystrophy type 1F	Autosomal dominant limb-girdle muscular dystrophy type 1F	719989007	Autosomal dominant limb girdle muscular dystrophy type 1F (disorder)	1000
77	54251	Corticosteroid-sensitive aseptic abscess syndrome	Corticosteroid-sensitive aseptic abscess syndrome	720751000	Corticosteroid sensitive aseptic abscess syndrome (disorder)	1000
4	54247	Posterior cortical atrophy	Posterior cortical atrophy	715574002	Posterior cortical atrophy syndrome (disorder)	1000
160	52994	Orbital leiomyoma	Orbital leiomyoma	719045009	Leiomyoma of orbit (disorder)	1000
78	51083	Familial short QT syndrome	Familial short QT syndrome	698273002	Genetic short QT syndrome (disorder)	1000
95	50817	Duane anomaly-myopathy-scoliosis syndrome	Duane anomaly-myopathy-scoliosis syndrome	722432000	Duane anomaly, myopathy, scoliosis syndrome (disorder)	1000
373	50812	Zellweger-like syndrome without peroxisomal anomalies	Ahn-Lerman-Sagie syndrome	718880003	Zellweger-like syndrome without peroxisomal anomaly (disorder)	1000
177	50811	Lipodystrophy-intellectual disability-deafness syndrome	Lipodystrophy-intellectual disability-deafness syndrome	721973006	Lipodystrophy, intellectual disability, deafness syndrome (disorder)	1000
226	50251	Pleural mesothelioma	Pleural mesothelioma	254645002	Malignant mesothelioma of pleura (disorder)	1000
393	48918	Focal myositis	Focal nodular myositis	240119009	Focal nodular myositis (disorder)	1000
152	48435	Postinfectious vasculitis	Postinfectious vasculitis	724063005	Post-infectious vasculitis (disorder)	1000
323	48372	Nodular regenerative hyperplasia of the liver	Non-cirrhotic nodulation	65860006	Liver regeneration (disorder)	1000
190	42642	PFAPA syndrome	PFAPA syndrome	717231003	Periodic fever and aphthous stomatitis with pharyngitis and cervical lymphadenitis syndrome (disorder)	1000
321	40366	Acitretin/etretinate embryopathy	Retinoid embryopathy	725287006	Embryopathy caused by retinoid (disorder)	1000
388	39044	Uveal melanoma	Iris melanoma	255012009	Malignant melanoma of iris (disorder)	1000
411	38874	Dihydropyrimidinuria	Dihydropyrimidinase deficiency	238014002	Dihydropyrimidinase deficiency (disorder)	1000
182	37202	Interstitial cystitis	Interstitial cystitis	197834003	Chronic interstitial cystitis (disorder)	1000
70	36238	Staphylococcal necrotizing pneumonia	Staphylococcal necrotizing pneumonia	763888005	Necrotizing pneumonia caused by Panton-Valentine leukocidin producing Staphylococcus aureus (disorder)	1000
67	36235	Staphylococcal scarlet fever	Staphylococcal scarlet fever	240450004	Staphylococcal toxic shock syndrome (disorder)	1000
247	35701	3-hydroxy-3-methylglutaryl-CoA synthase deficiency	3-hydroxy-3-methylglutaryl-CoA synthase deficiency	725286002	Deficiency of 3-hydroxy-3-methylglutaryl-coenzyme A synthase (disorder)	1000
223	34517	Autosomal dominant limb-girdle muscular dystrophy type 1E	Autosomal dominant limb-girdle muscular dystrophy type 1E	719988004	Autosomal dominant limb girdle muscular dystrophy type 1E (disorder)	1000
200	34515	Autosomal recessive limb-girdle muscular dystrophy type 2I	Autosomal recessive limb-girdle muscular dystrophy type 2I	718180000	Autosomal recessive limb girdle muscular dystrophy type 2I (disorder)	1000
183	34514	Autosomal recessive limb-girdle muscular dystrophy type 2G	Autosomal recessive limb-girdle muscular dystrophy type 2G	720522001	Autosomal recessive limb girdle muscular dystrophy type 2G (disorder)	1000
91	26792	Short chain acyl-CoA dehydrogenase deficiency	Short chain acyl-CoA dehydrogenase deficiency	787412002	Short chain acyl-coenzyme A dehydrogenase deficiency (disorder)	1000
198	26791	Multiple acyl-CoA dehydrogenase deficiency	Multiple acyl-CoA dehydrogenase deficiency	22886006	Glutaric aciduria, type 2 (disorder)	1000
201	3453	Autoimmune polyendocrinopathy type 1	Autoimmune polyendocrinopathy type 1	11244009	Polyglandular autoimmune syndrome, type 1 (disorder)	1000
10	3406	Ulerythema ophryogenesis	Ulerythema ophryogenesis	400059005	Keratosis pilaris atrophicans (disorder)	1000
116	3337	Primary Fanconi syndrome	Primary Fanconi syndrome	236466005	Congenital Fanconi syndrome (disorder)	1000
7	3240	Central nervous system calcification-deafness-tubular acidosis-anemia syndrome	Central nervous system calcification-deafness-tubular acidosis-anemia syndrome	726669007	Central nervous system calcification, deafness, tubular acidosis, anemia syndrome (disorder)	1000
228	3221	Generalized resistance to thyroid hormone	Generalized resistance to thyroid hormone	111567006	Refetoff syndrome (disorder)	1000
191	2971	Peroxisomal acyl-CoA oxidase deficiency	Peroxisomal acyl-CoA oxidase deficiency	238069004	Acyl-coenzyme A oxidase deficiency (disorder)	1000
231	2968	Leukocyte adhesion deficiency	Leukocyte adhesion deficiency	77358003	Congenital leukocyte adherence deficiency (disorder)	1000
194	2966	Properdin deficiency	Properdin deficiency	81166004	Properdin deficiency disease (disorder)	1000
63	2828	Young-onset Parkinson disease	Young-onset Parkinson disease	715345007	Young onset Parkinson disease (disorder)	1000
243	2821	Spastic paraplegia-neuropathy-poikiloderma syndrome	Spastic paraplegia-neuropathy-poikiloderma syndrome	763402002	Spastic paraplegia, neuropathy, poikiloderma syndrome (disorder)	1000
197	2677	Neuroepithelioma	Neuroepithelioma	55045006	Neuroepithelioma (morphologic abnormality)	1000
218	2414	Congenital pulmonary lymphangiectasia	Congenital pulmonary lymphangiectasia	45142002	Congenital pulmonary lymphangiectasis (disorder)	1000
206	2398	Multiple symmetric lipomatosis	Multiple symmetric lipomatosis	238902007	Multiple symmetrical lipomatosis (disorder)	1000
264	2364	Glycogen storage disease due to lactate dehydrogenase deficiency	LDH deficiency	124115002	Deficiency of L-lactate dehydrogenase (disorder)	1000
176	2337	Non-epidermolytic palmoplantar keratoderma	Non-epidermolytic palmoplantar keratoderma	716105001	Autosomal dominant diffuse palmoplantar keratoderma Norrbotten type (disorder)	1000
415	2314	Autosomal dominant hyper-IgE syndrome	Hyperimmunoglobulin E-recurrent infection syndrome	50926003	Job's syndrome (disorder)	1000
292	2266	Hypotrichosis-intellectual disability, Lopes type	Lopes-Marques de Faria syndrome	723365002	Hypotrichosis and intellectual disability syndrome Lopes type (disorder)	1000
301	2250	Hyposmia-nasal and ocular hypoplasia-hypogonadotropic hypogonadism syndrome	Bosma arhinia-microphthalmia syndrome	720511000	Arrhinia with choanal atresia and microphthalmia syndrome (disorder)	1000
318	2230	Hypogonadotropic hypogonadism-frontoparietal alopecia syndrome	Salti-Salem syndrome	721842008	Hypogonadotropic hypogonadism with frontoparietal alopecia syndrome (disorder)	1000
408	2199	Epidermolytic palmoplantar keratoderma	Epidermolytic palmoplantar keratoderma of Vorner	239071005	Epidermolytic palmoplantar keratoderma of Vorner (disorder)	1000
212	2089	Glycogen storage disease due to hepatic glycogen synthase deficiency	Glycogen storage disease due to hepatic glycogen synthase deficiency	725026008	Hepatic glycogen synthase deficiency (disorder)	1000
229	1951	Epilepsy-telangiectasia syndrome	Epilepsy-telangiectasia syndrome	733032006	Epilepsy telangiectasia syndrome (disorder)	1000
438	1945	Rolandic epilepsy	Benign rolandic epilepsy	44145005	Benign Rolandic epilepsy (disorder)	1000
309	1544	Benign focal seizures of adolescence	Adolescent benign focal crisis	715425000	Benign focal seizure of adolescence (disorder)	1000
81	1467	Cogan syndrome	Cogan syndrome	405810005	Cogan's syndrome (disorder)	1000
222	1333	Familial pancreatic carcinoma	Familial pancreatic carcinoma	715414009	Familial malignant neoplasm of pancreas (disorder)	1000
419	1303	Bronchiolitis obliterans with obstructive pulmonary disease	Obliterative bronchiolitis	40100001	Obliterative bronchiolitis (disorder)	1000
236	1194	TMEM70-related mitochondrial encephalo-cardio-myopathy	TMEM70-related mitochondrial encephalo-cardio-myopathy	718212006	Mitochondrial encephalocardiomyopathy due to transmembrane protein 70 mutation (disorder)	1000
180	1185	Spinocerebellar ataxia-dysmorphism syndrome	Spinocerebellar ataxia-dysmorphism syndrome	733033001	Spinocerebellar ataxia dysmorphism syndrome (disorder)	1000
248	1168	Ataxia-oculomotor apraxia type 1	Ataxia-oculomotor apraxia type 1	715366004	Autosomal recessive cerebellar ataxia with oculomotor apraxia type 1 (disorder)	1000
420	1117	Aplasia cutis-myopia syndrome	Gershoni-Baruch-Leibo syndrome	720499004	Aplasia cutis with myopia syndrome (disorder)	1000
456	1116	Aplasia cutis congenita-intestinal lymphangiectasia syndrome	Bronspiegel-Zelnick syndrome	720500008	Aplasia cutis congenita with intestinal lymphangiectasia syndrome (disorder)	1000
178	1021	Amaurosis-hypertrichosis syndrome	Amaurosis-hypertrichosis syndrome	720983002	Amaurosis hypertrichosis syndrome (disorder)	1000
449	1014	Alopecia-intellectual disability-hypergonadotropic hypogonadism syndrome	Devriendt-Vandenberghe-Fryns syndrome	720981000	Alopecia and intellectual disability with hypergonadotropic hypogonadism syndrome (disorder)	1000
239	898	Wagner disease	Wagner disease	232064001	Wagner syndrome (disorder)	1000
281	874	Primary adult heart tumor	Adult heart tumor	715403006	Adult heart tumor (disorder)	1000
225	868	Triose phosphate-isomerase deficiency	Triose phosphate-isomerase deficiency	234405009	Triose phosphate isomerase deficiency (disorder)	1000
425	853	Fetal and neonatal alloimmune thrombocytopenia	NAIT	240305000	Neonatal thrombocytopenia due to platelet alloimmunization (disorder)	1000
209	841	Sebocystomatosis	Sebocystomatosis	109433009	Steatocystoma multiplex (disorder)	1000
208	827	Stargardt disease	Stargardt disease	47673003	Fundus flavimaculatus (disorder)	1000
28	785	Estrogen resistance syndrome	Estrogen resistance syndrome	724555000	Puberty disorder due to estrogen resistance (disorder)	1000
428	761	Immunoglobulin A vasculitis	Purpura rheumatica	86074002	Purpura rheumatica (disorder)	1000
188	756	Pseudohypoaldosteronism type 1	Pseudohypoaldosteronism type 1	43941006	Pseudohypoaldosteronism, type 1 (disorder)	1000
211	742	Prolidase deficiency	Prolidase deficiency	360969006	Deficiency of imidodipeptidase (disorder)	1000
230	727	Microscopic polyangiitis	Microscopic polyangiitis	239928004	Microscopic polyarteritis nodosa (disorder)	1000
251	684	Paramyotonia congenita of Von Eulenburg	Paramyotonia congenita of Von Eulenburg	41574007	Paramyotonia congenita (disorder)	1000
203	676	Hereditary chronic pancreatitis	Hereditary chronic pancreatitis	235956004	Familial chronic pancreatitis (disorder)	1000
254	618	Familial melanoma	Familial melanoma	93655004	Malignant melanoma of skin (disorder)	1000
437	614	Thomsen and Becker disease	Myotonia congenita	726051002	Myotonia congenita (disorder)	1000
379	600	Vocal cord and pharyngeal distal myopathy	VCPDM	702383005	Distal myopathy 2 (disorder)	1000
220	580	Mucopolysaccharidosis type 2	Mucopolysaccharidosis type 2	70737009	Mucopolysaccharidosis type II (disorder)	1000
159	529	Roch-Leri mesosomatous lipomatosis	Roch-Leri mesosomatous lipomatosis	716772007	Roch Leri mesosomatous lipomatosis (disorder)	1000
59	505	Graham Little-Piccardi-Lassueur syndrome	Graham Little-Piccardi-Lassueur syndrome	718215008	Graham Little Piccardi Lassueur syndrome (disorder)	1000
196	481	Kennedy disease	Kennedy disease	230253001	Bulbospinal neuronopathy (disorder)	1000
51	427	Familial hypoaldosteronism	Familial hypoaldosteronism	715343000	Familial aldosterone deficiency (disorder)	1000
383	424	Familial hyperthyroidism due to mutations in TSH receptor	Familial non-immune hyperthyroidism	716743006	Familial hyperthyroidism due to mutation in thyroid stimulating hormone receptor (disorder)	1000
171	404	Familial hyperaldosteronism type II	Familial hyperaldosteronism type II	703233008	Familial hyperaldosteronism type 2 (disorder)	1000
424	395	Homocystinuria due to methylene tetrahydrofolate reductase deficiency	Methylene tetrahydrofolate reductase deficiency	41797007	5,10-Methylenetetrahydrofolate reductase deficiency (disorder)	1000
89	381	Griscelli syndrome	Griscelli syndrome	37548006	Hypopigmentation-immunodeficiency disease (disorder)	1000
445	368	Glycogen storage disease due to muscle glycogen phosphorylase deficiency	Glycogen storage disease type V	55912009	Glycogen storage disease, type V (disorder)	1000
44	345	Dissecting cellulitis of the scalp	Dissecting cellulitis of the scalp	77333008	Perifolliculitis capitis abscedens et suffodiens (disorder)	1000
175	340	Hemorrhagic fever-renal syndrome	Hemorrhagic fever-renal syndrome	716864001	Hemorrhagic fever with renal syndrome (disorder)	1000
227	332	Congenital intrinsic factor deficiency	Congenital intrinsic factor deficiency	234361004	Congenital deficiency of intrinsic factor (disorder)	1000
455	325	Congenital factor II deficiency	Hypoprothrombinemia	73975000	Factor II deficiency (disorder)	1000
144	316	Progressive symmetric erythrokeratodermia	Progressive symmetric erythrokeratodermia	70041004	Erythrokeratodermia variabilis (disorder)	1000
40	315	Erythrokeratoderma ''en cocardes''	Erythrokeratoderma ''en cocardes''	400171002	Malignant atrophic papulosis (disorder)	1000
5	314	Erythroderma desquamativum	Erythroderma desquamativum	263661007	Complement 5 dysfunction (disorder)	1000
164	293	Congenital herpes simplex virus infection	Congenital herpes simplex virus infection	91576008	Congenital herpes simplex (disorder)	1000
117	292	Congenital enterovirus infection	Congenital enterovirus infection	716865000	Congenital infection caused by enterovirus (disorder)	1000
255	284	Alveolar echinococcosis	Alveolar echinococcosis	21009004	Echinococcus multilocularis infection (disorder)	1000
433	283	Demodicidosis	Demodicosis	240894003	Demodex folliculitis (disorder)	1000
195	276	T-B+ severe combined immunodeficiency due to gamma chain deficiency	T-B+ severe combined immunodeficiency due to gamma chain deficiency	765145001	T cell negative B cell positive severe combined immunodeficiency due to gamma chain deficiency (disorder)	1000
199	275	Severe combined immunodeficiency due to DCLRE1C deficiency	Severe combined immunodeficiency due to DCLRE1C deficiency	715982006	Severe combined immunodeficiency due to deoxyribonucleic acid cross-link repair protein 1c deficiency (disorder)	1000
257	273	Steinert myotonic dystrophy	Steinert myotonic dystrophy	77956009	Steinert myotonic dystrophy syndrome (disorder)	1000
172	268	Autosomal recessive limb-girdle muscular dystrophy type 2B	Autosomal recessive limb-girdle muscular dystrophy type 2B	718179003	Autosomal recessive limb girdle muscular dystrophy type 2B (disorder)	1000
193	266	Autosomal dominant limb-girdle muscular dystrophy type 1A	Autosomal dominant limb-girdle muscular dystrophy type 1A	719985001	Autosomal dominant limb girdle muscular dystrophy type 1A (disorder)	1000
221	265	Autosomal dominant limb-girdle muscular dystrophy type 1C	Autosomal dominant limb-girdle muscular dystrophy type 1C	719986000	Autosomal dominant limb girdle muscular dystrophy type 1C (disorder)	1000
207	264	Autosomal dominant limb-girdle muscular dystrophy type 1B	Autosomal dominant limb-girdle muscular dystrophy type 1B	718178006	Autosomal dominant limb girdle muscular dystrophy type 1B (disorder)	1000
417	256	Early-onset generalized limb-onset dystonia	Idiopathic torsion dystonia	22451001	Idiopathic torsion dystonia (disorder)	1000
253	219	Autosomal recessive limb-girdle muscular dystrophy type 2F	Autosomal recessive limb-girdle muscular dystrophy type 2F	718177001	Autosomal recessive limb girdle muscular dystrophy type 2F (disorder)	1000
17	210	Cyclosporosis	Cyclosporosis	716860005	Infection of intestine caused by cyclospora cayetanensis (disorder)	1000
189	141	Canavan disease	Canavan disease	80544005	Spongy degeneration of central nervous system (disorder)	1000
187	119	Autosomal recessive limb-girdle muscular dystrophy type 2E	Autosomal recessive limb-girdle muscular dystrophy type 2E	718850008	Autosomal recessive limb girdle muscular dystrophy type 2E (disorder)	1000
